*B92001  92001-17999 REV.2440 <850304.1515> 
************************************************************************
*                                                                      *
*     RTE-II OPERATING SYSTEM             SOFTWARE NUMBERING FILE      *
*                                                                      *
*     PRODUCT:  92001B                    REV. 2440                    *
*                                                                      *
************************************************************************
  
FILENAME               PART NUMBER REV.  TYPE DESCRIPTION 
---------------------- ----------- ----  ---- --------------------------
  
B92001                 92001-17999 2440     4 RTE-II SOFTWARE NUMBERING FILE
  
!2GN00                 92001-16013 1631     7 MH-RT GEN ABS 
!2GN05                 92001-16026 1631     7 RTE-2 7905 RTGEN
!2GNFH                 92001-16018 1631     7 FH SYS GN RTE II
!S4L07                 02607-16004 1538     7 24K SIO LP DVR
!S4L67                 29100-60022    A     7 24K SIO 2767 LP 
!S4LP                  29100-60017    A     7 24K SIO LP
!S4MT1                 12970-16004 1550     7 24K SIO MT DMA
!S4MT2                 29100-60023    A     7 24K SIO 7970 MT 
!S4MT3                 29100-60049    A     7 MAG TAP SIO REL 
!S4PHR                 29100-60019    A     7 24K SIO PHOT ROR
!S4PUN                 29100-60020    A     7 24K SIO TP PNCH 
!S4TER                 29100-60050    A     7 TERM PRT SIO REL
!S4SYD                 29100-60018    A     7 24K SIO SYS DUMP
!DSKUP                 92060-16044 1805     7 OFF LINE DSK BK 
  
$IB6A                  92084-12036 2340     5 HP-IB LIBRARY 
  
%0DV05                 92001-16028 2140     5 2640A/B DVR (CTU) 
%0FTN4                 92060-16094 2026     5 FTN IV SEG 0
%1DV10                 72008-60001    A     5 COMP PLOT DVR10 
%1FTN                  20875-60001    E     5 FORT MAIN CNTRL 
%1FTN4                 92060-16095 2001     5 FTN IV SEG 1
%2$CMD                 92001-16029 1710     5 RTE-II CMD PRGRM
%2DP43                 92001-16004 1926     5 PWR FAIL(DVP43) 
%2DV10                 72009-60001    A     5 MIN PLOT DVR 10 
%2DV47                 92900-16002 1913     5 92900A DVR W/O DMS
%2FTN                  20875-60002    E     5 FTN MC PASS 1 
%2FTN4                 92060-16096 2026     5 FTN IV SEG 2
%2SPO1                 92002-12002 2001     5 SPOOL PROG
%3DV47                 92900-16003 1913     5 92900A(3070) DMS DVR
%3FTN                  20875-60003    E     5 FTN MC PASS 2 
%3FTN4                 92060-16097 1913     5 FTN IV SEG 3
%4DV05                 92001-16027 2140     5 2644/45 DVR (CTU) 
%4FTN                  20875-60004    E     5 FTN MC PASS 3 
%4FTN4                 92060-16098 2026     5 FTN IV SEG 4
%5FTN                  20875-60005    E     5 FTN MC PASS 4 
%5FTN4                 92060-16101 1913     5 FTN IV SEG 5
%6DA37                 92084-16593 2440     5 HP-IB DVR (NO SRQ)
%6DV37                 92084-16592 2440     5 HP-IB DVR (SRQ) 
%ALGL1                 24129-60002    C     5 RTE/DOS ALG SEG1
%ALGOL                 24129-60001 1643     5 RTE/DOS ALG MAIN
%AUTOR                 92001-16014 1631     5 AUTO RESTART R
%BMLIB                 92002-16006 2001     5 BATCH MON LIB 
%BMPG1                 92002-12001 2001     5 BATCH MON PROG
%CALIB                 20810-60001    C     5 LIBRARY 
%CALIO                 20808-60001    B     5 DR-RTE-PLT DR10 
%CLIB                  92060-12005 2140     5 RTE CMPLR LIB 
