A     = APPEND
B     = BOTTOM
C     = CHANGE
CLO   = CLOSE
CO    = COPY
D     = DELETE
DOS   = DOS
EJ    = LPTEJ
EXP   = EXPAND
F     = FIND
FI    = FILE
GO    = ASMB
H     = HEADER
I     = INSERT
ID    = IDFILE
J     = JOIN
KI    = DOS
L     = LOOK
LI    = LIST
LOG   = FILE
MO    = MOVE
MON   = PROM MON
N     = NEXT
NEW   = NEW
NU    = NUM ON/OF
O     = OVERLAY
P     = TYPE
QUIT  = QUIT
R     = REPLACE
READ  = READ
REN   = RENUMBER
RETRY = RETRY
SET   = SET
SP    = SPLIT
STOP  = FILE
T     = TOP
TAB   = TAB
TY    = TYPE
U     = UPLINE
V     = VERIFY
VT    = LPTVT
W     = WRITE
WA    = PAGE WAIT
X     = CLRSCN
Z     = ZONE
